Index,Social detriment,Loss of opportunity,Physical injury,Economic loss,Transparency,Justice and fairness,Privacy,Trust,Non-maleficence,Responsibility,Positive design that produces negative results that do not meet expectations,Negative design that produces negative results that meet expectations,Overly human-like and leading to ethics problems,Not human-like enough to cause ethics problems,Not enough beyond human to cause ethics problems,ethics issues caused by the wrong user group,ethics issues due to wrong user tasks,Infringements on human rights,Emotional or psychological injury
31,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0
32,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1
33,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1
34,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1
35,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1
36,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1
37,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1
38,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0
39,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1
40,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0
41,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1
42,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0
43,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0
44,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1
45,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1
46,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1
47,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0
48,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
49,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
50,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1
51,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0
52,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1
53,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1
54,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1
55,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1
56,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1
57,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
58,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1
59,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1
60,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
61,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
62,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
63,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0
64,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
65,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
66,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1
67,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1
68,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1
69,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1
70,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0
71,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
72,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0
73,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0
74,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0
75,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0
76,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1
77,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0
78,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
79,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0
80,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1
81,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1
82,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0
83,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0
84,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0
85,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0
86,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1
87,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
88,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0
89,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
90,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
91,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0
92,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0
93,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0
